site_no,date,TSS,PheoP,CHLA,site_name,lat,long,geometry,split_ID,LS_ID,Cloud_Cover,azimuth,cScore,time,dswe,dswe_sd,hillshade,hillshadow,hillshadow_sd,path,pixelCount,qa,qa_sd,row,sat,swir1_sd,zenith,date_time,month,year,hour,season,decade,count,max_year,min_year,n_years,rn,red_raw,green_raw,blue_raw,nir_raw,swir1_raw,swir2_raw,red,green,blue,nir,swir1,swir2,NR,BR,GR,SR,BG,RG,NG,SG,BN,GN,RN,SN,BS,GS,RS,NS,R.GN,R.GB,R.GS,R.BN,R.BS,R.NS,G.BR,G.BN,G.BS,G.RN,G.RB,G.NS,B.RG,B.RN,B.RS,B.GN,B.GS,B.NS,N.RG,N.RB,N.RS,N.GB,N.GS,N.BS,GR2,GN2,BR_G,NS_NR,fai,N_S,N_R,ndvi,ndwi,ndssi,gn.gn,hue,saturation,bright,bright_tot,dw,hexcolor,index
4015000,6/19/1984,15,1.899999976,5.210000038,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19840619,27,127.403664,0,9:57:37,1,0,132,1,0,197,50,66,0,28,LT05,43.24083718,31.159103,1984-06-19T09:57:37Z,6,1984,9,Summer,1990,295,2020,1984,36,7143,505,594,423,879,244,119,449.0693588,535.0704422,409.3679425,802.9549884,184.8765341,88.93506246,1.788042254,0.911591794,1.191509578,0.411688151,0.765072989,0.839271474,1.500652858,0.345518122,0.509826763,0.666376634,0.5592709,0.230245203,2.214277461,2.894204204,2.429023029,4.343195811,0.335620944,0.475488254,0.623753378,0.370420576,0.755697994,0.454601163,0.62330754,0.441359665,0.900421398,0.427364247,0.62330754,0.54166164,0.415965234,0.326964842,0.645745871,0.305949299,0.568608461,0.41441069,0.815895249,0.935368241,1.266598613,0.85019309,1.115297397,1.351219944,492.0699005,669.0127153,-0.074198485,2.339497505,399.2520743,618.0784544,353.8856296,0.282650757,0.48641625,-0.324655284,-0.20020886,0.280693945,0.234927011,0.297993232,2196.462732,556,#404C3A,1
4015000,9/16/1987,5,17.89999962,1.379999995,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19870916,11,145.218781,0,9:56:08,1,0,191,1,0,197,77,66,0.226436309,28,LT05,45.09286533,48.558147,1987-09-16T09:56:08Z,9,1987,9,Fall,1990,295,2020,1984,36,7153,455,578,434,775,324,157,402.0905128,520.2535183,419.7571964,713.6621165,245.9058535,115.8326783,1.774879272,1.043937082,1.293871658,0.611568405,0.806832019,0.772874183,1.371758367,0.472665431,0.588173572,0.728991362,0.563418603,0.344569016,1.706983345,2.115661384,1.635140063,2.902176204,0.325865482,0.427750989,0.524813149,0.354758833,0.604045114,0.419032862,0.633029103,0.459012399,0.781556853,0.466280343,0.633029103,0.542174744,0.455098295,0.37620991,0.647777084,0.34018306,0.547871907,0.437443943,0.77374829,0.868362969,1.101336603,0.759206364,0.93147998,1.072107152,461.1720155,616.9578174,0.033957836,2.994892489,338.3911917,467.756263,311.5716037,0.279247922,0.358081719,-0.259308198,-0.156743778,0.358251854,0.227125817,0.28974134,2055.763344,539,#394A3C,2
4015000,7/19/1989,9,0.100000001,28,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19890719,0,128.031769,0,9:56:33,1,0,145,1,0,197,135,68,0.776895443,28,LT05,64.62564564,34.12785,1989-07-19T09:56:33Z,7,1989,9,Summer,1990,295,2020,1984,36,7162,361,403,284,404.3030663,191,128,316.2335986,359.5282576,276.3420343,371.5770163,146.2773787,95.17477699,1.175008025,0.873854124,1.136907208,0.462561155,0.768623963,0.87957926,1.033512689,0.406859199,0.743700558,0.967573994,0.851058017,0.39366638,1.889164522,2.45785275,2.161876302,2.540222005,0.43254181,0.497324065,0.62520774,0.488075784,0.748270403,0.610661224,0.606721299,0.554896877,0.850714015,0.522714029,0.606721299,0.694265147,0.408934052,0.401770529,0.597482109,0.377978445,0.546340362,0.533628829,0.54986385,0.627054161,0.803390697,0.584359768,0.734624112,0.879223729,337.8809281,365.5526369,-0.110955296,1.325633376,84.52781903,225.2996375,55.34341764,0.080463163,0.421606371,-0.146985926,-0.016480197,0.253409113,0.231376037,0.200229687,1323.680907,560,#2D3327,3
4015000,5/22/1991,4,1,19,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19910522,14,130.335129,310.7098039,9:51:48,1,0,142,1,0,197,48,66,0,28,LT05,36.94045509,33.823536,1991-05-22T09:51:48Z,5,1991,9,Spring,1995,295,2020,1984,36,7173,395,513,356,704,225,122,346.9169826,460.2700255,345.6509331,651.0213446,170.8711384,91.00594844,1.876591165,0.996350569,1.326744001,0.492541867,0.750974241,0.753724908,1.414433503,0.371241074,0.530936406,0.706996828,0.532881119,0.262466261,2.022874877,2.693667461,2.030284259,3.810013503,0.312174639,0.430460306,0.549666228,0.348075281,0.671640191,0.422095335,0.664584678,0.46180679,0.891094594,0.461220912,0.664584678,0.560012453,0.42821667,0.346365024,0.667552845,0.31103538,0.547660259,0.420554927,0.806531,0.940010835,1.257312244,0.807798008,1.031498786,1.260394048,403.5935041,555.645685,-0.002750667,2.727415738,334.3344564,480.1502062,304.1043619,0.304732621,0.45853274,-0.306389992,-0.17164834,0.331492381,0.249025759,0.256335132,1803.859286,547,#314131,4
4015000,10/27/2005,3.600000024,1.039999962,0.430000007,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_2_LE07_197028_20051027,10,160.862442,0,10:18:33,1,0,223,1,0,197,38,68,0.85028918,28,LE07,58.51923944,60.918312,2005-10-27T10:18:33Z,10,2005,10,Fall,2005,295,2020,1984,36,7308,291,350,276,409,156,105,291,350,276,409,156,105,1.405498282,0.948453608,1.202749141,0.536082474,0.788571429,0.831428571,1.168571429,0.445714286,0.674816626,0.855745721,0.711491443,0.381418093,1.769230769,2.243589744,1.865384615,2.621794872,0.383399209,0.46485623,0.575098814,0.424817518,0.673611111,0.515044248,0.617283951,0.510948905,0.810185185,0.5,0.617283951,0.619469027,0.430577223,0.394285714,0.617449664,0.363636364,0.545454545,0.488495575,0.638065523,0.721340388,0.914988814,0.653354633,0.808300395,0.946759259,320.5,379.5,-0.042857143,1.874074074,141.1818182,253,118,0.168571429,0.383399209,-0.194160584,-0.07773386,0.29954955,0.211428571,0.194923178,1326,553,#293227,5
4015000,7/23/2008,2.599999905,1,1,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_20080723,0,135.807632,0,10:15:51,1,0,137,1,0,197,44,68,0.298065387,28,LT05,34.9475995,32.390564,2008-07-23T10:15:51Z,7,2008,10,Summer,2010,295,2020,1984,36,7232,251,268,197,354,161,90,219.846431,237.2115002,191.4370391,322.2910166,125.0762104,69.38147007,1.465982482,0.870776197,1.078987269,0.568925362,0.80703102,0.926794994,1.358665226,0.527277178,0.593988132,0.736016482,0.682136391,0.388084694,1.530563154,1.896535716,1.757699808,2.576757127,0.392931979,0.512882725,0.606828287,0.427943206,0.694588398,0.491422746,0.576759139,0.461745271,0.749452039,0.437548635,0.576759139,0.530238886,0.418846334,0.353115321,0.555014418,0.342155814,0.528411628,0.427919229,0.705142597,0.783622586,0.934386375,0.75187709,0.889599639,1.018254424,228.5289656,279.7512584,-0.119763974,2.080978654,118.7182598,197.2148062,102.4445855,0.18896423,0.309519994,-0.254714486,-0.152062795,0.229893587,0.19296898,0.132108627,970.7859869,563,#1F221B,6
4015000,9/13/2018,6.400000095,NA,NA,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_2_LE07_197028_20180913,17,154.329727,7.074509804,10:27:13,1,0,181,1,0,197,83,68,0.983534055,28,LE07,54.80277257,45.088009,2018-09-13T10:27:13Z,9,2018,10,Fall,2020,295,2020,1984,36,7364,452,485,403,524.3333333,270.48,157,452,485,403,524.3333333,270.48,157,1.160029499,0.89159292,1.07300885,0.59840708,0.830927835,0.931958763,1.081099656,0.557690722,0.768595041,0.924984107,0.862047044,0.515855054,1.489943804,1.793108548,1.671103224,1.938529035,0.447820343,0.509009009,0.598295124,0.487419123,0.67114094,0.568686987,0.567251462,0.523005032,0.720140167,0.496756572,0.567251462,0.61020617,0.430096051,0.412768863,0.557800908,0.399273448,0.533435697,0.507037292,0.559587335,0.613255361,0.725740966,0.590465465,0.694039992,0.778543288,468.5,504.6666667,-0.101030928,1.398486852,103.5034343,253.8533333,72.33333333,0.074086719,0.283951925,-0.130841121,-0.038969617,0.233739837,0.169072165,0.270107832,1864.333333,563,#404539,7
4015600,2/23/2000,9.699999809,NA,NA,PONT RD 130 AU L-D BONNAND,6584820,775924.1,"c(775924.1, 6584820)",142,1_2_LE07_198028_20000223,6,152.894272,1,10:28:03,1,0,221,1,0,198,219,68,0.687665775,28,LE07,94.06975245,59.896233,2000-02-23T10:28:03Z,2,2000,10,Winter,2000,390,2020,1984,36,12139,399,470,384,380.8210865,143,75,399,470,384,380.8210865,143,75,0.954438813,0.962406015,1.177944862,0.35839599,0.817021277,0.84893617,0.810257631,0.304255319,1.008347525,1.234175356,1.0477361,0.375504417,2.685314685,3.286713287,2.79020979,2.663084521,0.468958758,0.467213115,0.650897227,0.521690637,0.75711575,0.761710459,0.600255428,0.614522806,0.891840607,0.602702348,0.600255428,0.897252921,0.441887227,0.492420642,0.708487085,0.451328729,0.626427406,0.733074727,0.438229098,0.486361541,0.702621931,0.445926331,0.621241577,0.722620658,434.5,425.4105433,-0.031914894,0.928988619,25.78068249,237.8210865,-18.17891347,-0.023311646,0.533442088,0.004156415,0.104815119,0.304263566,0.182978723,0.261753982,1633.821087,552,#394337,8
4015600,2/24/2003,5.099999905,NA,NA,PONT RD 130 AU L-D BONNAND,6584820,775924.1,"c(775924.1, 6584820)",142,1_2_LE07_197028_20030224,21,151.688034,25.09019608,10:17:54,1,0,220,1,0,197,126,68,0.42591771,28,LE07,162.6638082,59.764633,2003-02-24T10:17:54Z,2,2003,10,Winter,2005,390,2020,1984,36,12075,627,627,491.5,577.3571429,254,151,627,627,491.5,577.3571429,254,151,0.920824789,0.783891547,1,0.405103668,0.783891547,1,0.920824789,0.405103668,0.851292837,1.085982927,1.085982927,0.439935667,1.93503937,2.468503937,2.468503937,2.273059618,0.520609691,0.560572195,0.71169126,0.586607859,0.841046278,0.754188504,0.560572195,0.586607859,0.841046278,0.520609691,0.560572195,0.754188504,0.391945774,0.408101536,0.557888763,0.408101536,0.557888763,0.591201993,0.460412395,0.516188773,0.655342954,0.516188773,0.655342954,0.774456261,627,602.1785714,-0.216108453,0.86690923,14.40764791,323.3571429,-49.64285714,-0.041219382,0.42338252,-0.080326116,0.041219382,0.166666667,0.216108453,0.34919095,2322.857143,570,#595946,9
4015600,12/16/2003,15,NA,NA,PONT RD 130 AU L-D BONNAND,6584820,775924.1,"c(775924.1, 6584820)",142,1_2_LE07_198028_20031216,3,160.613495,58,10:24:13,1,0,243,1,0,198,163,68,0.156170823,28,LE07,185.4487713,71.692566,2003-12-16T10:24:13Z,12,2003,10,Winter,2005,390,2020,1984,36,12149,752,784,572.5932203,439,231,185.5625,752,784,572.5932203,439,231,185.5625,0.583776596,0.761427155,1.042553191,0.307180851,0.730348495,0.959183673,0.55994898,0.294642857,1.304312575,1.785876993,1.712984055,0.5261959,2.47875853,3.393939394,3.255411255,1.9004329,0.614881439,0.554329764,0.7408867,0.743381811,0.935796845,1.12238806,0.591879822,0.775015079,0.975617987,0.658270361,0.591879822,1.170149254,0.372782044,0.480766768,0.582495646,0.468187425,0.564131252,0.854616747,0.285807292,0.331422503,0.446592065,0.323604743,0.432512315,0.546296296,768,611.5,-0.228835178,0.399232246,-223.5353535,208,-313,-0.262804366,0.544827586,0.132062194,0.282093213,0.191894492,0.269651505,0.436627919,2547.59322,568,#6B6F51,10
